time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778195920.340,4596.096,0.0,0.0,0.0,0.0
1778195920.841,4596.598,0.0,0.0,0.0,0.0
1778195921.343,4597.099,0.0,0.0,0.0,0.0
1778195921.844,4597.601,0.0,0.0,0.0,0.0
1778195922.346,4598.102,0.0,0.0,0.0,0.0
1778195922.847,4598.603,0.0,0.0,0.0,0.0
1778195923.348,4599.105,0.0,0.0,0.0,0.0
1778195923.850,4599.606,0.0,0.0,0.0,0.0
1778195924.351,4600.108,0.0,0.0,0.0,0.0
1778195924.853,4600.609,0.0,0.0,0.0,0.0
1778195925.354,4601.111,0.0,0.0,0.0,0.0
1778195925.856,4601.613,0.0,0.0,0.0,0.0
1778195926.358,4602.115,0.0,0.0,0.0,0.0
1778195926.860,4602.617,0.0,0.0,0.0,0.0
1778195927.362,4603.118,0.0,0.0,0.0,0.0
1778195927.863,4603.620,0.0,0.0,0.0,0.0
1778195928.365,4604.121,0.0,0.0,0.0,0.0
1778195928.866,4604.623,0.0,0.0,0.0,0.0
1778195929.367,4605.124,0.0,0.0,0.0,0.0
1778195929.869,4605.626,0.0,0.0,0.0,0.0
1778195930.370,4606.127,0.0,0.0,0.0,0.0
1778195930.872,4606.628,0.0,0.0,0.0,0.0
1778195931.373,4607.130,0.0,0.0,0.0,0.0
1778195931.875,4607.631,0.0,0.0,0.0,0.0
1778195932.376,4608.133,0.0,0.0,0.0,0.0
1778195932.878,4608.634,0.0,0.0,0.0,0.0
1778195933.379,4609.136,0.0,0.0,0.0,0.0
1778195933.880,4609.637,0.0,0.0,0.0,0.0
1778195934.382,4610.138,0.0,0.0,0.0,0.0
1778195934.884,4610.640,0.0,0.0,0.0,0.0
1778195935.335,4611.092,0.0,0.0,0.0,0.0
1778195935.837,4611.593,0.0,0.0,0.0,0.0
1778195936.338,4612.094,0.0,0.0,0.0,0.0
1778195936.839,4612.596,0.0,0.0,0.0,0.0
1778195937.341,4613.097,0.0,0.0,0.0,0.0
1778195937.842,4613.599,0.0,0.0,0.0,0.0
1778195938.344,4614.100,0.0,0.0,0.0,0.0
1778195938.845,4614.602,0.0,0.0,0.0,0.0
1778195939.347,4615.103,0.0,0.0,0.0,0.0
1778195939.848,4615.605,0.0,0.0,0.0,0.0
1778195940.350,4616.106,0.0,0.0,0.0,0.0
1778195940.851,4616.608,0.0,0.0,0.0,0.0
1778195941.353,4617.109,0.0,0.0,0.0,0.0
1778195941.854,4617.611,0.0,0.0,0.0,0.0
1778195942.356,4618.112,0.0,0.0,0.0,0.0
1778195942.857,4618.614,0.0,0.0,0.0,0.0
1778195943.359,4619.115,0.0,0.0,0.0,0.0
1778195943.860,4619.617,0.0,0.0,0.0,0.0
1778195944.363,4620.120,0.0,0.0,0.0,0.0
1778195944.865,4620.621,0.0,0.0,0.0,0.0
1778195945.367,4621.123,0.0,0.0,0.0,0.0
1778195945.868,4621.625,0.0,0.0,0.0,0.0
1778195946.369,4622.126,0.0,0.0,0.0,0.0
1778195946.871,4622.627,0.0,0.0,0.0,0.0
1778195947.372,4623.129,0.0,0.0,0.0,0.0
1778195947.873,4623.630,0.0,0.0,0.0,0.0
1778195948.375,4624.131,0.0,0.0,0.0,0.0
1778195948.876,4624.633,0.0,0.0,0.0,0.0
1778195949.378,4625.134,0.0,0.0,0.0,0.0
1778195949.879,4625.636,0.0,0.0,0.0,0.0
1778195950.381,4626.138,0.0,0.0,0.0,0.0
1778195950.883,4626.639,0.0,0.0,0.0,0.0
1778195951.384,4627.140,0.0,0.0,0.0,0.0
1778195951.835,4627.592,0.0,0.0,0.0,0.0
1778195952.337,4628.093,0.0,0.0,0.0,0.0
1778195952.838,4628.595,0.0,0.0,0.0,0.0
1778195953.340,4629.096,0.0,0.0,0.0,0.0
1778195953.841,4629.597,0.0,0.0,0.0,0.0
1778195954.342,4630.099,0.0,0.0,0.0,0.0
1778195954.844,4630.600,0.0,0.0,0.0,0.0
1778195955.346,4631.102,0.0,0.0,0.0,0.0
1778195955.847,4631.603,0.0,0.0,0.0,0.0
1778195956.348,4632.105,0.0,0.0,0.0,0.0
1778195956.850,4632.606,0.0,0.0,0.0,0.0
1778195957.351,4633.108,0.0,0.0,0.0,0.0
1778195957.853,4633.609,0.0,0.0,0.0,0.0
1778195958.354,4634.111,0.0,0.0,0.0,0.0
1778195958.856,4634.612,0.0,0.0,0.0,0.0
1778195959.357,4635.114,0.0,0.0,0.0,0.0
1778195959.859,4635.615,0.0,0.0,0.0,0.0
1778195960.360,4636.117,0.0,0.0,0.0,0.0
1778195960.862,4636.618,0.0,0.0,0.0,0.0
1778195961.363,4637.119,0.0,0.0,0.0,0.0
1778195961.865,4637.621,0.0,0.0,0.0,0.0
1778195962.367,4638.124,0.0,0.0,0.0,0.0
1778195962.869,4638.626,0.0,0.0,0.0,0.0
1778195963.371,4639.127,0.0,0.0,0.0,0.0
1778195963.872,4639.628,0.0,0.0,0.0,0.0
1778195964.373,4640.130,0.0,0.0,0.0,0.0
1778195964.875,4640.631,0.0,0.0,0.0,0.0
1778195965.377,4641.133,0.0,0.0,0.0,0.0
1778195965.878,4641.635,0.0,0.0,0.0,0.0
1778195966.380,4642.136,0.0,0.0,0.0,0.0
1778195966.881,4642.638,0.0,0.0,0.0,0.0
1778195967.383,4643.139,0.0,0.0,0.0,0.0
1778195967.884,4643.641,0.0,0.0,0.0,0.0
1778195968.335,4644.092,0.0,0.0,0.0,0.0
1778195968.837,4644.593,0.0,0.0,0.0,0.0
1778195969.338,4645.095,0.0,0.0,0.0,0.0
1778195969.839,4645.596,0.0,0.0,0.0,0.0
1778195970.341,4646.098,0.0,0.0,0.0,0.0
1778195970.843,4646.599,0.0,0.0,0.0,0.0
1778195971.344,4647.101,0.0,0.0,0.0,0.0
1778195971.846,4647.602,0.0,0.0,0.0,0.0
1778195972.347,4648.104,0.0,0.0,0.0,0.0
1778195972.849,4648.606,0.0,0.0,0.0,0.0
1778195973.350,4649.107,0.0,0.0,0.0,0.0
1778195973.852,4649.608,0.0,0.0,0.0,0.0
1778195974.353,4650.110,0.0,0.0,0.0,0.0
1778195974.855,4650.611,0.0,0.0,0.0,0.0
1778195975.357,4651.114,0.0,0.0,0.0,0.0
1778195975.859,4651.615,0.0,0.0,0.0,0.0
1778195976.360,4652.117,0.0,0.0,0.0,0.0
1778195976.862,4652.618,0.0,0.0,0.0,0.0
1778195977.363,4653.120,0.0,0.0,0.0,0.0
1778195977.865,4653.622,0.0,0.0,0.0,0.0
1778195978.367,4654.123,0.0,0.0,0.0,0.0
1778195978.868,4654.625,0.0,0.0,0.0,0.0
1778195979.370,4655.126,0.0,0.0,0.0,0.0
1778195979.871,4655.628,0.0,0.0,0.0,0.0
1778195980.373,4656.130,0.0,0.0,0.0,0.0
1778195980.875,4656.631,0.0,0.0,0.0,0.0
1778195981.376,4657.132,0.0,0.0,0.0,0.0
1778195981.877,4657.634,0.0,0.0,0.0,0.0
1778195982.378,4658.135,0.0,0.0,0.0,0.0
1778195982.880,4658.636,0.0,0.0,0.0,0.0
1778195983.381,4659.138,0.0,0.0,0.0,0.0
1778195983.883,4659.639,0.0,0.0,0.0,0.0
1778195984.384,4660.140,0.0,0.0,0.0,0.0
1778195984.835,4660.592,0.0,0.0,0.0,0.0
1778195985.337,4661.093,0.0,0.0,0.0,0.0
1778195985.838,4661.595,0.0,0.0,0.0,0.0
1778195986.340,4662.096,0.0,0.0,0.0,0.0
1778195986.841,4662.598,0.0,0.0,0.0,0.0
1778195987.343,4663.099,0.0,0.0,0.0,0.0
1778195987.844,4663.600,0.0,0.0,0.0,0.0
1778195988.345,4664.102,0.0,0.0,0.0,0.0
1778195988.847,4664.603,0.0,0.0,0.0,0.0
1778195989.348,4665.105,0.0,0.0,0.0,0.0
1778195989.849,4665.606,0.0,0.0,0.0,0.0
1778195990.351,4666.107,0.0,0.0,0.0,0.0
1778195990.852,4666.609,0.0,0.0,0.0,0.0
1778195991.354,4667.110,0.0,0.0,0.0,0.0
1778195991.855,4667.612,0.0,0.0,0.0,0.0
1778195992.357,4668.114,0.0,0.0,0.0,0.0
1778195992.859,4668.616,0.0,0.0,0.0,0.0
1778195993.361,4669.118,0.0,0.0,0.0,0.0
1778195993.863,4669.619,0.0,0.0,0.0,0.0
1778195994.364,4670.120,0.0,0.0,0.0,0.0
1778195994.865,4670.622,0.0,0.0,0.0,0.0
1778195995.367,4671.124,0.0,0.0,0.0,0.0
1778195995.869,4671.625,0.0,0.0,0.0,0.0
1778195996.370,4672.127,0.0,0.0,0.0,0.0
1778195996.872,4672.628,0.0,0.0,0.0,0.0
1778195997.373,4673.130,0.0,0.0,0.0,0.0
1778195997.875,4673.631,0.0,0.0,0.0,0.0
1778195998.376,4674.132,0.0,0.0,0.0,0.0
1778195998.877,4674.634,0.0,0.0,0.0,0.0
1778195999.379,4675.135,0.0,0.0,0.0,0.0
1778195999.880,4675.636,0.0,0.0,0.0,0.0
1778196000.382,4676.138,0.0,0.0,0.0,0.0
1778196000.883,4676.640,0.0,0.0,0.0,0.0
1778196001.385,4677.141,0.0,0.0,0.0,0.0
1778196001.836,4677.592,0.0,0.0,0.0,0.0
1778196002.337,4678.094,0.0,0.0,0.0,0.0
1778196002.839,4678.595,0.0,0.0,0.0,0.0
1778196003.340,4679.097,0.0,0.0,0.0,0.0
1778196003.842,4679.598,0.0,0.0,0.0,0.0
1778196004.343,4680.100,0.0,0.0,0.0,0.0
1778196004.845,4680.601,0.0,0.0,0.0,0.0
1778196005.347,4681.103,0.0,0.0,0.0,0.0
1778196005.848,4681.605,0.0,0.0,0.0,0.0
