time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1778194418.709,3094.466,0.0,0.0,0.0,22.8,0.0,0
1778194419.211,3094.967,0.0,0.0,0.0,22.8,0.0,0
1778194419.712,3095.468,0.0,0.0,0.0,22.8,0.0,0
1778194420.213,3095.970,0.0,0.0,0.0,22.8,0.0,0
1778194420.715,3096.471,0.0,0.0,0.0,22.8,0.0,0
1778194421.216,3096.973,0.0,0.0,0.0,22.8,0.0,0
1778194421.668,3097.424,0.0,0.0,0.0,22.8,0.0,0
1778194422.169,3097.926,0.0,0.0,0.0,22.8,0.0,0
1778194422.671,3098.427,0.0,0.0,0.0,22.8,0.0,0
1778194423.172,3098.929,0.0,0.0,0.0,22.8,0.0,0
1778194423.674,3099.430,0.0,0.0,0.0,22.8,0.0,0
1778194424.175,3099.932,0.0,0.0,0.0,22.8,0.0,0
1778194424.677,3100.433,0.0,0.0,0.0,22.8,0.0,0
1778194425.178,3100.935,0.0,0.0,0.0,22.8,0.0,0
1778194425.680,3101.436,0.0,0.0,0.0,22.8,0.0,0
1778194426.181,3101.938,0.0,0.0,0.0,22.8,0.0,0
1778194426.682,3102.439,0.0,0.0,0.0,22.8,0.0,0
1778194427.184,3102.940,0.0,0.0,0.0,22.8,0.0,0
1778194427.686,3103.442,0.0,0.0,0.0,22.8,0.0,0
1778194428.187,3103.944,0.0,0.0,0.0,22.8,0.0,0
1778194428.689,3104.445,0.0,0.0,0.0,22.8,0.0,0
1778194429.190,3104.947,0.0,0.0,0.0,22.8,0.0,0
1778194429.692,3105.449,0.0,0.0,0.0,22.8,0.0,0
1778194430.194,3105.951,0.0,0.0,0.0,22.8,0.0,0
1778194430.696,3106.453,0.0,0.0,0.0,22.8,0.0,0
1778194431.197,3106.954,0.0,0.0,0.0,22.8,0.0,0
1778194431.699,3107.455,0.0,0.0,0.0,22.8,0.0,0
1778194432.200,3107.957,0.0,0.0,0.0,22.8,0.0,0
1778194432.701,3108.458,0.0,0.0,0.0,22.8,0.0,0
1778194433.203,3108.959,0.0,0.0,0.0,22.8,0.0,0
