time_unix,monotonic,time_unix,uptime_s,cpu_load_pct,mem_used_pct,tasks_running,pixhawk_connected,vesc_connected,power_connected,photodiode_connected,pps_synced,pps_rms_us
1778194418.559,3094.315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1778194419.060,3094.817,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194419.562,3095.318,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194420.063,3095.819,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194420.564,3096.321,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194421.066,3096.822,1778194420.5716872,4.023210269000174,70.263671875,6.101463929089423,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194421.567,3097.324,1778194420.5716872,4.023210269000174,70.263671875,6.101463929089423,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194422.069,3097.825,1778194420.5716872,4.023210269000174,70.263671875,6.101463929089423,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194422.570,3098.327,1778194420.5716872,4.023210269000174,70.263671875,6.101463929089423,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194423.072,3098.829,1778194422.5908496,6.042372119999982,88.671875,6.101413899046381,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194423.573,3099.330,1778194422.5908496,6.042372119999982,88.671875,6.101413899046381,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194424.075,3099.831,1778194422.5908496,6.042372119999982,88.671875,6.101413899046381,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194424.577,3100.333,1778194422.5908496,6.042372119999982,88.671875,6.101413899046381,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194425.078,3100.835,1778194424.609996,8.06151808200002,88.671875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194425.579,3101.336,1778194424.609996,8.06151808200002,88.671875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194426.081,3101.837,1778194424.609996,8.06151808200002,88.671875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194426.582,3102.339,1778194424.609996,8.06151808200002,88.671875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194427.084,3102.840,1778194426.6291456,10.080667636000271,88.671875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194427.585,3103.342,1778194426.6291456,10.080667636000271,88.671875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194428.087,3103.843,1778194426.6291456,10.080667636000271,88.671875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194428.588,3104.345,1778194426.6291456,10.080667636000271,88.671875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194429.090,3104.847,1778194428.6493664,12.100888292000036,89.599609375,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194429.542,3105.298,1778194428.6493664,12.100888292000036,89.599609375,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194430.043,3105.800,1778194428.6493664,12.100888292000036,89.599609375,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194430.546,3106.302,1778194428.6493664,12.100888292000036,89.599609375,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194431.047,3106.803,1778194430.6694822,14.121004557000106,89.599609375,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194431.548,3107.305,1778194430.6694822,14.121004557000106,89.599609375,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194432.050,3107.806,1778194430.6694822,14.121004557000106,89.599609375,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194432.551,3108.307,1778194430.6694822,14.121004557000106,89.599609375,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194433.052,3108.809,1778194432.6887157,16.140238095000313,82.421875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194433.554,3109.310,1778194432.6887157,16.140238095000313,82.421875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194434.055,3109.812,1778194432.6887157,16.140238095000313,82.421875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194434.557,3110.314,1778194432.6887157,16.140238095000313,82.421875,6.101313838960298,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194435.059,3110.816,1778194434.708524,18.160046153000167,82.421875,6.1012137788742145,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194435.561,3111.317,1778194434.708524,18.160046153000167,82.421875,6.1012137788742145,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194436.062,3111.818,1778194434.708524,18.160046153000167,82.421875,6.1012137788742145,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194436.563,3112.320,1778194434.708524,18.160046153000167,82.421875,6.1012137788742145,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194437.065,3112.821,1778194436.7260978,20.177620613000272,82.421875,6.101163748831173,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194437.566,3113.323,1778194436.7260978,20.177620613000272,82.421875,6.101163748831173,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194438.069,3113.825,1778194436.7260978,20.177620613000272,82.421875,6.101163748831173,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194438.570,3114.327,1778194436.7260978,20.177620613000272,82.421875,6.101163748831173,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194439.072,3114.828,1778194438.74333,22.194852208000157,83.837890625,6.100913598615964,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194439.573,3115.330,1778194438.74333,22.194852208000157,83.837890625,6.100913598615964,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194440.075,3115.831,1778194438.74333,22.194852208000157,83.837890625,6.100913598615964,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194440.576,3116.333,1778194438.74333,22.194852208000157,83.837890625,6.100913598615964,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194441.078,3116.834,1778194440.7628467,24.214368899999954,83.837890625,6.100813538529892,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194441.579,3117.336,1778194440.7628467,24.214368899999954,83.837890625,6.100813538529892,12.0,1.0,1.0,0.0,0.0,1.0,0.0
