time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active
1778193892.745,2568.502,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193893.247,2569.003,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193893.748,2569.505,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193894.250,2570.006,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193894.701,2570.457,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193895.202,2570.959,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193895.703,2571.460,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193896.205,2571.961,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193896.706,2572.463,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193897.208,2572.964,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193897.709,2573.465,0,0,0,0,0,0,0,0,0,0,0,0,1
1778193898.210,2573.967,0,0,0,0,0,0,0,0,0,0,0,0,1
