time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1778193892.495,2568.251,0.0,0.0,0.0,0.0,0.0,0
1778193892.996,2568.752,0.0,0.0,0.0,0.0,0.0,0
1778193893.498,2569.254,0.0,0.0,0.0,0.0,0.0,0
1778193893.999,2569.755,0.0,0.0,0.0,0.0,0.0,0
1778193894.500,2570.257,0.0,0.0,0.0,0.0,0.0,0
1778193895.002,2570.758,0.0,0.0,0.0,0.0,0.0,0
1778193895.503,2571.259,0.0,0.0,0.0,0.0,0.0,0
1778193896.004,2571.761,0.0,0.0,0.0,0.0,0.0,0
1778193896.506,2572.262,0.0,0.0,0.0,0.0,0.0,0
1778193897.007,2572.764,0.0,0.0,0.0,0.0,0.0,0
1778193897.508,2573.265,0.0,0.0,0.0,0.0,0.0,0
1778193898.010,2573.766,0.0,0.0,0.0,0.0,0.0,0
1778193898.511,2574.268,0.0,0.0,0.0,0.0,0.0,0
