time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778193892.545,2568.301,0.0,0.0,0.0,0.0
1778193893.046,2568.803,0.0,0.0,0.0,0.0
1778193893.548,2569.304,0.0,0.0,0.0,0.0
1778193894.049,2569.806,0.0,0.0,0.0,0.0
1778193894.550,2570.307,0.0,0.0,0.0,0.0
1778193895.052,2570.808,0.0,0.0,0.0,0.0
1778193895.553,2571.310,0.0,0.0,0.0,0.0
1778193896.054,2571.811,0.0,0.0,0.0,0.0
1778193896.556,2572.312,0.0,0.0,0.0,0.0
1778193897.057,2572.814,0.0,0.0,0.0,0.0
1778193897.559,2573.315,0.0,0.0,0.0,0.0
1778193898.060,2573.816,0.0,0.0,0.0,0.0
