time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1778194907.515,3583.272,0.0,0.0,0.0,22.8,0.0,0
1778194908.017,3583.773,0.0,0.0,0.0,22.8,0.0,0
1778194908.518,3584.275,0.0,0.0,0.0,22.8,0.0,0
1778194909.020,3584.776,0.0,0.0,0.0,22.8,0.0,0
1778194909.521,3585.278,0.0,0.0,0.0,22.8,0.0,0
1778194910.023,3585.779,0.0,0.0,0.0,22.8,0.0,0
1778194910.524,3586.280,0.0,0.0,0.0,22.8,0.0,0
1778194911.025,3586.782,0.0,0.0,0.0,22.8,0.0,0
1778194911.477,3587.234,0.0,0.0,0.0,22.8,0.0,0
1778194911.979,3587.735,0.0,0.0,0.0,22.8,0.0,0
1778194912.480,3588.237,0.0,0.0,0.0,22.8,0.0,0
1778194912.981,3588.738,0.0,0.0,0.0,22.8,0.0,0
1778194913.483,3589.239,0.0,0.0,0.0,22.8,0.0,0
1778194913.984,3589.741,0.0,0.0,0.0,22.8,0.0,0
1778194914.485,3590.242,0.0,0.0,0.0,22.8,0.0,0
1778194914.987,3590.743,0.0,0.0,0.0,22.8,0.0,0
1778194915.488,3591.245,0.0,0.0,0.0,22.8,0.0,0
1778194915.990,3591.746,0.0,0.0,0.0,22.8,0.0,0
1778194916.491,3592.248,0.0,0.0,0.0,22.8,0.0,0
1778194916.993,3592.749,0.0,0.0,0.0,22.8,0.0,0
1778194917.494,3593.251,0.0,0.0,0.0,22.8,0.0,0
1778194917.996,3593.752,0.0,0.0,0.0,22.8,0.0,0
1778194918.497,3594.254,0.0,0.0,0.0,22.8,0.0,0
1778194918.999,3594.756,0.0,0.0,0.0,22.8,0.0,0
1778194919.501,3595.257,0.0,0.0,0.0,22.8,0.0,0
1778194920.002,3595.759,0.0,0.0,0.0,22.8,0.0,0
1778194920.503,3596.260,0.0,0.0,0.0,22.8,0.0,0
1778194921.005,3596.761,0.0,0.0,0.0,22.8,0.0,0
1778194921.506,3597.263,0.0,0.0,0.0,22.8,0.0,0
1778194922.008,3597.764,0.0,0.0,0.0,22.8,0.0,0
1778194922.509,3598.266,0.0,0.0,0.0,22.8,0.0,0
1778194923.011,3598.767,0.0,0.0,0.0,22.8,0.0,0
1778194923.512,3599.269,0.0,0.0,0.0,22.8,0.0,0
1778194924.014,3599.771,0.0,0.0,0.0,22.8,0.0,0
1778194924.516,3600.272,0.0,0.0,0.0,22.8,0.0,0
1778194925.017,3600.774,0.0,0.0,0.0,22.8,0.0,0
1778194925.518,3601.275,0.0,0.0,0.0,22.8,0.0,0
1778194926.020,3601.776,0.0,0.0,0.0,22.8,0.0,0
1778194926.521,3602.278,0.0,0.0,0.0,22.8,0.0,0
1778194927.023,3602.779,0.0,0.0,0.0,22.8,0.0,0
1778194927.524,3603.281,0.0,0.0,0.0,22.8,0.0,0
1778194928.026,3603.782,0.0,0.0,0.0,22.8,0.0,0
1778194928.477,3604.233,0.0,0.0,0.0,22.8,0.0,0
1778194928.979,3604.735,0.0,0.0,0.0,22.8,0.0,0
1778194929.480,3605.237,0.0,0.0,0.0,22.8,0.0,0
1778194929.982,3605.738,0.0,0.0,0.0,22.8,0.0,0
1778194930.483,3606.240,0.0,0.0,0.0,22.8,0.0,0
1778194930.985,3606.741,0.0,0.0,0.0,22.8,0.0,0
1778194931.486,3607.243,0.0,0.0,0.0,22.8,0.0,0
1778194931.988,3607.744,0.0,0.0,0.0,22.8,0.0,0
1778194932.489,3608.245,0.0,0.0,0.0,22.8,0.0,0
1778194932.990,3608.747,0.0,0.0,0.0,22.8,0.0,0
1778194933.492,3609.248,0.0,0.0,0.0,22.8,0.0,0
1778194933.994,3609.750,0.0,0.0,0.0,22.8,0.0,0
1778194934.495,3610.252,0.0,0.0,0.0,22.8,0.0,0
1778194934.997,3610.753,0.0,0.0,0.0,22.8,0.0,0
1778194935.498,3611.254,0.0,0.0,0.0,22.8,0.0,0
1778194935.999,3611.756,0.0,0.0,0.0,22.8,0.0,0
1778194936.501,3612.258,0.0,0.0,0.0,22.8,0.0,0
1778194937.003,3612.759,0.0,0.0,0.0,22.8,0.0,0
1778194937.504,3613.261,0.0,0.0,0.0,22.8,0.0,0
1778194938.005,3613.762,0.0,0.0,0.0,22.8,0.0,0
1778194938.507,3614.263,0.0,0.0,0.0,22.8,0.0,0
1778194939.008,3614.765,0.0,0.0,0.0,22.8,0.0,0
1778194939.510,3615.266,0.0,0.0,0.0,22.8,0.0,0
1778194940.011,3615.767,0.0,0.0,0.0,22.8,0.0,0
1778194940.512,3616.269,0.0,0.0,0.0,22.8,0.0,0
1778194941.014,3616.771,0.0,0.0,0.0,22.8,0.0,0
1778194941.516,3617.272,0.0,0.0,0.0,22.8,0.0,0
1778194942.017,3617.774,0.0,0.0,0.0,22.8,0.0,0
1778194942.518,3618.275,0.0,0.0,0.0,22.8,0.0,0
1778194943.020,3618.776,0.0,0.0,0.0,22.8,0.0,0
1778194943.521,3619.278,0.0,0.0,0.0,22.8,0.0,0
1778194944.023,3619.779,0.0,0.0,0.0,22.8,0.0,0
1778194944.524,3620.281,0.0,0.0,0.0,22.8,0.0,0
1778194945.025,3620.782,0.0,0.0,0.0,22.8,0.0,0
1778194945.477,3621.233,0.0,0.0,0.0,22.8,0.0,0
1778194945.978,3621.735,0.0,0.0,0.0,22.8,0.0,0
1778194946.480,3622.237,0.0,0.0,0.0,22.8,0.0,0
1778194946.981,3622.738,0.0,0.0,0.0,22.8,0.0,0
1778194947.483,3623.239,0.0,0.0,0.0,22.8,0.0,0
1778194947.984,3623.741,0.0,0.0,0.0,22.8,0.0,0
1778194948.486,3624.242,0.0,0.0,0.0,22.8,0.0,0
1778194948.987,3624.743,0.0,0.0,0.0,22.8,0.0,0
1778194949.488,3625.245,0.0,0.0,0.0,22.8,0.0,0
