time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active
1778194907.766,3583.523,0,0,0,0,0,0,0,0,0,0,0,0,1
1778194908.267,3584.024,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194908.769,3584.525,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194909.270,3585.027,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194909.772,3585.528,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194910.273,3586.030,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194910.775,3586.531,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194911.276,3587.033,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194911.728,3587.485,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194912.229,3587.986,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194912.731,3588.487,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194913.232,3588.989,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194913.733,3589.490,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194914.235,3589.991,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194914.736,3590.493,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194915.238,3590.994,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194915.739,3591.496,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194916.241,3591.997,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194916.742,3592.499,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194917.243,3593.000,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194917.745,3593.501,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194918.246,3594.003,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194918.748,3594.505,0,0,1,0,0,0,0,0,0,0,0,0,1
1778194919.250,3595.006,0,0,1,0,0,0,0,0,0,0,0,0,1
