time_unix,monotonic,lat,lon,alt,relative_alt,hdg,num_sv
1778194907.967,3583.723,20.2828281,-60.3298807,2597.71,1.2957441806793213,0.0,0
1778194908.970,3584.726,20.2828281,-60.3298807,2597.71,1.2928292751312256,0.0,0
1778194909.972,3585.729,20.2828281,-60.3298807,2597.71,1.2943519353866577,0.0,0
1778194910.975,3586.732,20.2828281,-60.3298807,2597.71,1.2989956140518188,0.0,0
1778194911.979,3587.735,20.2828281,-60.3298807,2597.71,1.3099830150604248,0.0,0
1778194912.981,3588.738,20.2828281,-60.3298807,2597.71,1.307594656944275,0.0,0
1778194913.984,3589.741,20.2828281,-60.3298807,2597.71,1.3115354776382446,0.0,0
1778194914.937,3590.693,20.2828281,-60.3298807,2597.71,1.317474603652954,0.0,0
1778194915.940,3591.696,20.2828281,-60.3298807,2597.71,1.321378231048584,0.0,0
1778194916.943,3592.699,20.2828281,-60.3298807,2597.71,1.324428677558899,0.0,0
1778194917.946,3593.702,20.2828281,-60.3298807,2597.71,1.3274877071380615,0.0,0
1778194918.949,3594.705,20.2828281,-60.3298807,2597.71,1.3319674730300903,0.0,0
1778194919.952,3595.708,20.2828281,-60.3298807,2597.71,1.3325353860855103,0.0,0
1778194920.955,3596.711,20.2828281,-60.3298807,2597.71,1.3307677507400513,0.0,0
1778194921.958,3597.714,20.2828281,-60.3298807,2597.71,1.333257794380188,0.0,0
1778194922.961,3598.717,20.2828281,-60.3298807,2597.71,1.3410017490386963,0.0,0
1778194923.964,3599.720,20.2828281,-60.3298807,2597.71,1.34602952003479,0.0,0
1778194924.967,3600.723,20.2828281,-60.3298807,2597.71,1.3460575342178345,0.0,0
1778194925.970,3601.726,20.2828281,-60.3298807,2597.71,1.3465769290924072,0.0,0
1778194926.973,3602.729,20.2828281,-60.3298807,2597.71,1.336044192314148,0.0,0
1778194927.976,3603.732,20.2828281,-60.3298807,2597.71,1.328984022140503,0.0,0
1778194928.979,3604.735,20.2828281,-60.3298807,2597.71,1.3301149606704712,0.0,0
1778194929.982,3605.738,20.2828281,-60.3298807,2597.71,1.3343204259872437,0.0,0
1778194930.985,3606.741,20.2828281,-60.3298807,2597.71,1.3302667140960693,0.0,0
1778194931.937,3607.694,20.2828281,-60.3298807,2597.71,1.3226121664047241,0.0,0
1778194932.940,3608.697,20.2828281,-60.3298807,2597.71,1.3221853971481323,0.0,0
1778194933.944,3609.700,20.2828281,-60.3298807,2597.71,1.3161677122116089,0.0,0
1778194934.946,3610.703,20.2828281,-60.3298807,2597.71,1.3104015588760376,0.0,0
1778194935.949,3611.706,20.2828281,-60.3298807,2597.71,1.3164348602294922,0.0,0
1778194936.953,3612.709,20.2828281,-60.3298807,2597.71,1.3163831233978271,0.0,0
1778194937.955,3613.712,20.2828281,-60.3298807,2597.71,1.32329523563385,0.0,0
1778194938.958,3614.715,20.2828281,-60.3298807,2597.71,1.3276753425598145,0.0,0
1778194939.961,3615.717,20.2828281,-60.3298807,2597.71,1.3281548023223877,0.0,0
1778194940.964,3616.720,20.2828281,-60.3298807,2597.71,1.3344767093658447,0.0,0
1778194941.967,3617.724,20.2828281,-60.3298807,2597.71,1.3319332599639893,0.0,0
1778194942.970,3618.726,20.2828281,-60.3298807,2597.71,1.3346296548843384,0.0,0
1778194943.973,3619.729,20.2828281,-60.3298807,2597.71,1.3297312259674072,0.0,0
1778194944.975,3620.732,20.2828281,-60.3298807,2597.71,1.3284143209457397,0.0,0
1778194945.978,3621.735,20.2828281,-60.3298807,2597.71,1.3294073343276978,0.0,0
1778194946.981,3622.738,20.2828281,-60.3298807,2597.71,1.3283069133758545,0.0,0
1778194947.984,3623.741,20.2828281,-60.3298807,2597.71,1.3268487453460693,0.0,0
1778194948.937,3624.693,20.2828281,-60.3298807,2597.71,1.3307602405548096,0.0,0
1778194949.940,3625.696,20.2828281,-60.3298807,2597.71,1.3323688507080078,0.0,0
1778194950.943,3626.699,20.2828281,-60.3298807,2597.71,1.3373855352401733,0.0,0
1778194951.945,3627.702,20.2828281,-60.3298807,2597.71,1.338263988494873,0.0,0
1778194952.948,3628.704,20.2828281,-60.3298807,2597.71,1.3403059244155884,0.0,0
1778194953.951,3629.707,20.2828281,-60.3298807,2597.71,1.3466538190841675,0.0,0
1778194954.953,3630.710,20.2828281,-60.3298807,2597.71,1.3492567539215088,0.0,0
1778194955.956,3631.713,20.2828281,-60.3298807,2597.71,1.3483339548110962,0.0,0
1778194956.959,3632.715,20.2828281,-60.3298807,2597.71,1.3556783199310303,0.0,0
1778194957.963,3633.719,20.2828281,-60.3298807,2597.71,1.3697904348373413,0.0,0
1778194958.965,3634.722,20.2828281,-60.3298807,2597.71,1.3775746822357178,0.0,0
1778194959.968,3635.724,20.2828281,-60.3298807,2597.71,1.3730289936065674,0.0,0
1778194960.971,3636.728,20.2828281,-60.3298807,2597.71,1.3587298393249512,0.0,0
1778194961.974,3637.730,20.2828281,-60.3298807,2597.71,1.355859398841858,0.0,0
1778194962.977,3638.734,20.2828281,-60.3298807,2597.71,1.3580955266952515,0.0,0
1778194963.980,3639.736,20.2828281,-60.3298807,2597.71,1.3692516088485718,0.0,0
1778194964.983,3640.739,20.2828281,-60.3298807,2597.71,1.3827836513519287,0.0,0
1778194965.936,3641.692,20.2828281,-60.3298807,2597.71,1.3887766599655151,0.0,0
1778194966.938,3642.695,20.2828281,-60.3298807,2597.71,1.39391028881073,0.0,0
1778194967.941,3643.698,20.2828281,-60.3298807,2597.71,1.393958330154419,0.0,0
1778194968.944,3644.701,20.2828281,-60.3298807,2597.71,1.3941956758499146,0.0,0
1778194969.947,3645.703,20.2828281,-60.3298807,2597.71,1.3982549905776978,0.0,0
1778194970.949,3646.706,20.2828281,-60.3298807,2597.71,1.4034043550491333,0.0,0
1778194971.952,3647.709,20.2828281,-60.3298807,2597.71,1.3961864709854126,0.0,0
1778194972.955,3648.712,20.2828281,-60.3298807,2597.71,1.3857516050338745,0.0,0
1778194973.958,3649.715,20.2828281,-60.3298807,2597.71,1.3848192691802979,0.0,0
1778194974.962,3650.718,20.2828281,-60.3298807,2597.71,1.3825958967208862,0.0,0
1778194975.964,3651.721,20.2828281,-60.3298807,2597.71,1.381758213043213,0.0,0
1778194976.967,3652.723,20.2828281,-60.3298807,2597.71,1.3849034309387207,0.0,0
1778194977.970,3653.726,20.2828281,-60.3298807,2597.71,1.396414041519165,0.0,0
1778194978.973,3654.729,20.2828281,-60.3298807,2597.71,1.406461238861084,0.0,0
1778194979.976,3655.732,20.2828281,-60.3298807,2597.71,1.4152435064315796,0.0,0
1778194980.979,3656.735,20.2828281,-60.3298807,2597.71,1.420894742012024,0.0,0
1778194981.981,3657.738,20.2828281,-60.3298807,2597.71,1.4295833110809326,0.0,0
1778194982.985,3658.741,20.2828281,-60.3298807,2597.71,1.4323742389678955,0.0,0
