time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778206181.355,544.027,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206181.856,544.529,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206182.358,545.030,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206182.859,545.532,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206183.310,545.983,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206183.812,546.484,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206184.313,546.985,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206184.815,547.487,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206185.316,547.988,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206185.818,548.490,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206186.319,548.991,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206186.820,549.492,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206187.322,549.994,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206187.823,550.495,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206188.324,550.997,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206188.826,551.498,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206189.327,552.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206189.829,552.501,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206190.331,553.003,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206190.832,553.504,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206191.334,554.006,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206191.835,554.507,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206192.336,555.009,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206192.838,555.510,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206193.339,556.011,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206193.841,556.513,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206194.342,557.014,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206194.844,557.516,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206195.345,558.017,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206195.847,558.519,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206196.348,559.020,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206196.849,559.521,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206197.351,560.023,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206197.852,560.524,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206198.353,561.026,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206198.855,561.527,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206199.356,562.028,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206199.858,562.530,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206200.359,563.031,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206200.810,563.483,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206201.312,563.984,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206201.813,564.485,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206202.315,564.987,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206202.816,565.489,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206203.318,565.990,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206203.819,566.492,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206204.321,566.993,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206204.822,567.495,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206205.324,567.996,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206205.825,568.497,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206206.327,568.999,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206206.829,569.501,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206207.330,570.003,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206207.832,570.504,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206208.333,571.005,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206208.834,571.507,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206209.336,572.008,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206209.837,572.510,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206210.339,573.011,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206210.840,573.512,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206211.342,574.014,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206211.844,574.516,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206212.345,575.018,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206212.847,575.519,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206213.348,576.020,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206213.849,576.522,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206214.351,577.023,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206214.852,577.524,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206215.353,578.026,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206215.855,578.527,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206216.356,579.028,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206216.858,579.530,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206217.359,580.032,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206217.811,580.483,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206218.312,580.984,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206218.813,581.485,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206219.315,581.987,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206219.816,582.488,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206220.317,582.990,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206220.819,583.491,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206221.320,583.992,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206221.822,584.494,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206222.323,584.995,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206222.824,585.497,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206223.326,585.998,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206223.827,586.499,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206224.330,587.002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206224.831,587.503,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206225.332,588.005,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206225.834,588.506,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206226.335,589.007,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206226.837,589.509,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206227.338,590.010,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206227.839,590.512,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206228.341,591.013,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206228.843,591.515,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206229.345,592.017,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206229.847,592.519,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206230.348,593.020,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206230.849,593.521,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206231.350,594.023,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206231.852,594.524,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206232.354,595.026,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206232.855,595.527,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206233.356,596.028,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206233.858,596.530,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206234.359,597.031,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206234.811,597.483,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206235.312,597.984,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206235.813,598.485,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206236.315,598.987,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206236.816,599.488,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206237.317,599.990,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206237.819,600.491,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206238.320,600.992,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206238.821,601.494,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206239.323,601.995,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206239.825,602.497,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206240.326,602.998,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206240.827,603.500,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206241.329,604.001,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206241.830,604.503,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206242.332,605.004,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206242.833,605.506,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206243.335,606.007,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206243.836,606.508,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206244.338,607.010,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206244.839,607.512,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206245.341,608.013,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778206245.842,608.514,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
