time_unix,monotonic,termination_altitude_m,burst_altitude_m,burst_altitude_uncertainty_m,ascent_detect_window_s,ascent_detect_gain_m,apogee_fraction,landing_fraction,recovery_stationary_s,termination_confirm_drop_m,termination_confirm_window_s,rw_kp,rw_kd,rw_max_rpm,mm_kp,mm_kd,mm_max_current,pointing_activate_altitude_m,pointing_duration_min,gs_use_hardcoded,gs_lat,gs_lon,gs_alt
1778206185.116,547.788,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206190.130,552.803,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206195.145,557.817,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206200.108,562.780,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206205.123,567.796,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206210.138,572.810,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206215.103,577.775,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206220.117,582.789,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206225.132,587.804,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206230.147,592.820,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206235.111,597.784,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206240.125,602.798,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
1778206245.140,607.812,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,0.0,120.0,1.0,45.54,-73.58,55.0
