time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778196762.748,5438.505,0.0,0.0,0.0,0.0
1778196763.250,5439.006,0.0,0.0,0.0,0.0
1778196763.751,5439.508,0.0,0.0,0.0,0.0
1778196764.252,5440.009,0.0,0.0,0.0,0.0
1778196764.754,5440.510,0.0,0.0,0.0,0.0
1778196765.255,5441.012,0.0,0.0,0.0,0.0
1778196765.757,5441.513,0.0,0.0,0.0,0.0
1778196766.258,5442.015,0.0,0.0,0.0,0.0
1778196766.760,5442.516,0.0,0.0,0.0,0.0
1778196767.261,5443.018,0.0,0.0,0.0,0.0
1778196767.763,5443.519,0.0,0.0,0.0,0.0
1778196768.264,5444.021,0.0,0.0,0.0,0.0
1778196768.766,5444.522,0.0,0.0,0.0,0.0
1778196769.267,5445.024,0.0,0.0,0.0,0.0
1778196769.769,5445.525,0.0,0.0,0.0,0.0
1778196770.270,5446.026,0.0,0.0,0.0,0.0
1778196770.771,5446.528,0.0,0.0,0.0,0.0
1778196771.273,5447.029,0.0,0.0,0.0,0.0
1778196771.774,5447.531,0.0,0.0,0.0,0.0
1778196772.276,5448.032,0.0,0.0,0.0,0.0
1778196772.778,5448.535,0.0,0.0,0.0,0.0
1778196773.280,5449.037,0.0,0.0,0.0,0.0
1778196773.781,5449.538,0.0,0.0,0.0,0.0
1778196774.283,5450.039,0.0,0.0,0.0,0.0
1778196774.785,5450.541,0.0,0.0,0.0,0.0
1778196775.286,5451.043,0.0,0.0,0.0,0.0
1778196775.788,5451.544,0.0,0.0,0.0,0.0
1778196776.289,5452.046,0.0,0.0,0.0,0.0
1778196776.791,5452.547,0.0,0.0,0.0,0.0
1778196777.293,5453.049,0.0,0.0,0.0,0.0
1778196777.744,5453.501,0.0,0.0,0.0,0.0
1778196778.246,5454.002,0.0,0.0,0.0,0.0
1778196778.747,5454.504,0.0,0.0,0.0,0.0
1778196779.249,5455.005,0.0,0.0,0.0,0.0
1778196779.750,5455.507,0.0,0.0,0.0,0.0
1778196780.252,5456.008,0.0,0.0,0.0,0.0
1778196780.753,5456.510,0.0,0.0,0.0,0.0
1778196781.254,5457.011,0.0,0.0,0.0,0.0
1778196781.756,5457.512,0.0,0.0,0.0,0.0
1778196782.257,5458.014,0.0,0.0,0.0,0.0
1778196782.759,5458.515,0.0,0.0,0.0,0.0
1778196783.260,5459.016,0.0,0.0,0.0,0.0
1778196783.761,5459.518,0.0,0.0,0.0,0.0
1778196784.263,5460.019,0.0,0.0,0.0,0.0
1778196784.764,5460.521,0.0,0.0,0.0,0.0
1778196785.266,5461.022,0.0,0.0,0.0,0.0
1778196785.767,5461.524,0.0,0.0,0.0,0.0
1778196786.269,5462.025,0.0,0.0,0.0,0.0
1778196786.770,5462.526,0.0,0.0,0.0,0.0
1778196787.271,5463.028,0.0,0.0,0.0,0.0
1778196787.773,5463.529,0.0,0.0,0.0,0.0
1778196788.274,5464.031,0.0,0.0,0.0,0.0
1778196788.776,5464.532,0.0,0.0,0.0,0.0
1778196789.277,5465.033,0.0,0.0,0.0,0.0
1778196789.779,5465.536,0.0,0.0,0.0,0.0
1778196790.281,5466.037,0.0,0.0,0.0,0.0
1778196790.782,5466.539,0.0,0.0,0.0,0.0
1778196791.284,5467.040,0.0,0.0,0.0,0.0
