time_unix,monotonic,press_abs,press_diff,temperature,baro_alt,climb,airspeed,groundspeed
1778197105.671,5781.428,1002.5982666015625,0.0,46.13,89.75431060791016,0.002458235714584589,0.0,0.0002555953396949917
1778197106.674,5782.431,1002.6182861328125,0.0,46.13,89.8996353149414,0.001705908332951367,0.0,0.001175368670374155
1778197107.677,5783.434,1002.625732421875,0.0,46.13,89.70938873291016,0.001660374109633267,0.0,8.903509296942502e-05
1778197108.680,5784.436,1002.6432495117188,0.0,46.14,89.70674896240234,0.0015272046439349651,0.0,0.00039629804086871445
1778197109.683,5785.439,1002.6331787109375,0.0,46.14,89.8996353149414,0.0017643948085606098,0.0,0.0013453447027131915
1778197110.686,5786.442,1002.6232299804688,0.0,46.13,89.83622741699219,0.0014571412466466427,0.0,0.0007661653799004853
1778197111.689,5787.445,1002.5933227539062,0.0,46.12,89.81773376464844,0.00028162586386315525,0.0,0.0018928447971120477
1778197112.692,5788.448,1002.620849609375,0.0,46.13,89.86000061035156,0.0008259906317107379,0.0,0.0010608513839542866
1778197113.695,5789.451,1002.608154296875,0.0,46.13,89.8969955444336,0.0011561880819499493,0.0,0.0005312925204634666
1778197114.698,5790.454,1002.6107788085938,0.0,46.13,89.9419174194336,0.001038639689795673,0.0,0.0005191622185520828
1778197115.700,5791.457,1002.5855102539062,0.0,46.13,90.03704071044922,0.0007717515691183507,0.0,0.0007382980547845364
1778197116.703,5792.460,1002.5933227539062,0.0,46.12,89.83622741699219,0.00016836539725773036,0.0,0.00037298197275958955
1778197117.706,5793.462,1002.608154296875,0.0,46.13,89.7331771850586,-0.0006577166495844722,0.0,0.0005871850298717618
1778197118.709,5794.465,1002.595703125,0.0,46.13,90.0264663696289,-0.0009981797775253654,0.0,0.0008919122046791017
1778197119.712,5795.468,1002.630859375,0.0,46.13,89.87850189208984,-0.000997931114397943,0.0,0.0011189092183485627
1778197120.714,5796.471,1002.5960083007812,0.0,46.12,90.00532531738281,-0.0009938537841662765,0.0,0.0008577261469326913
1778197121.718,5797.474,1002.6385498046875,0.0,46.13,89.90227508544922,0.0011204024776816368,0.0,0.0009192497818730772
1778197122.670,5798.427,1002.6333618164062,0.0,46.13,89.60369110107422,-0.0011778472689911723,0.0,0.0012188740074634552
1778197123.674,5799.430,1002.6286010742188,0.0,46.13,89.6459732055664,-0.00226913602091372,0.0,0.0010670904302969575
1778197124.677,5800.433,1002.61328125,0.0,46.13,89.80451965332031,-0.001958564156666398,0.0,0.0016677642706781626
1778197125.679,5801.436,1002.61865234375,0.0,46.12,89.57991790771484,-0.0008818348287604749,0.0,0.00037151662399992347
1778197126.682,5802.439,1002.6284790039062,0.0,46.13,89.98155212402344,-0.0014663019683212042,0.0,0.0005604091566056013
1778197127.686,5803.443,1002.6135864257812,0.0,46.12,89.78073120117188,-0.0010202915873378515,0.0,0.0003145360969938338
1778197128.690,5804.446,1002.5986328125,0.0,46.12,89.87321472167969,-0.00133680016733706,0.0,0.001927359844557941
1778197129.693,5805.449,1002.6261596679688,0.0,46.12,89.78337860107422,-0.0008154682000167668,0.0,0.0006671886658295989
1778197130.695,5806.452,1002.6112060546875,0.0,46.12,89.57991790771484,-0.001320869429036975,0.0,0.0006058370927348733
1778197131.698,5807.455,1002.6437377929688,0.0,46.13,89.6459732055664,-0.0012627935502678156,0.0,0.0009894928662106395
1778197132.701,5808.458,1002.6161499023438,0.0,46.12,89.69882202148438,-0.0011559295235201716,0.0,0.0006878671701997519
1778197133.704,5809.461,1002.6486206054688,0.0,46.13,89.73052978515625,-0.0011642506578937173,0.0,0.0014566860627382994
1778197134.707,5810.464,1002.6461791992188,0.0,46.13,89.73052978515625,-0.002203851705417037,0.0,0.0012987148948013783
1778197135.710,5811.467,1002.646484375,0.0,46.12,89.6459732055664,-0.0025322693400084972,0.0,0.0009145334479399025
1778197136.713,5812.470,1002.6563720703125,0.0,46.13,89.51649475097656,-0.0027439072728157043,0.0,0.0010648533934727311
1778197137.716,5813.472,1002.6539916992188,0.0,46.12,89.6459732055664,-0.002420433098450303,0.0,0.0012796695809811354
1778197138.719,5814.475,1002.618896484375,0.0,46.12,89.60369110107422,-0.0034231075551360846,0.0,0.0005378984496928751
1778197139.672,5815.428,1002.6568603515625,0.0,46.12,89.37380981445312,-0.0034534535370767117,0.0,0.0003170103009324521
1778197140.675,5816.431,1002.6265258789062,0.0,46.12,89.50857543945312,-0.003235569456592202,0.0,0.0006813648506067693
1778197141.677,5817.434,1002.6235961914062,0.0,46.13,89.52178955078125,-0.003159757237881422,0.0,0.0006808991893194616
1778197142.680,5818.437,1002.646484375,0.0,46.12,89.90227508544922,-0.002022174885496497,0.0,0.0006304510752670467
1778197143.683,5819.439,1002.654052734375,0.0,46.12,89.74109649658203,-0.001932314713485539,0.0,0.0004994209157302976
1778197144.686,5820.442,1002.6486206054688,0.0,46.13,89.89435577392578,-0.001355417538434267,0.0,0.0006199505878612399
1778197145.690,5821.446,1002.6187133789062,0.0,46.12,89.540283203125,-0.0012047163909301162,0.0,0.0002504541480448097
1778197146.693,5822.449,1002.6593017578125,0.0,46.12,89.8996353149414,-0.0007946724654175341,0.0,0.000788208853919059
1778197147.696,5823.452,1002.6339111328125,0.0,46.12,89.43195343017578,0.0007567515131086111,0.0,0.00043089818791486323
1778197148.699,5824.455,1002.6593017578125,0.0,46.12,89.59313201904297,0.0010401697363704443,0.0,0.0004826508229598403
1778197149.702,5825.458,1002.6290283203125,0.0,46.12,89.69618225097656,0.0009436467662453651,0.0,0.0010675386292859912
1778197150.704,5826.461,1002.6060791015625,0.0,46.12,89.79130554199219,0.0003248076536692679,0.0,0.0008341645007021725
1778197151.707,5827.464,1002.6315307617188,0.0,46.12,89.45308685302734,-0.000298709433991462,0.0,0.00014493348135147244
1778197152.710,5828.467,1002.6315307617188,0.0,46.12,89.75167083740234,-0.00020233439863659441,0.0,0.0005472816992551088
1778197153.714,5829.470,1002.6415405273438,0.0,46.12,89.45308685302734,-0.00025631324388086796,0.0,0.0006917690625414252
1778197154.717,5830.473,1002.654296875,0.0,46.12,89.43195343017578,-0.0007702968432568014,0.0,0.0006531418184749782
1778197155.669,5831.426,1002.6643676757812,0.0,46.12,89.51385498046875,-0.0014360242057591677,0.0,0.0009086519130505621
1778197156.672,5832.429,1002.6467895507812,0.0,46.12,89.6010513305664,-0.0010295221582055092,0.0,0.0008018709486350417
1778197157.675,5833.432,1002.6290283203125,0.0,46.12,89.66975402832031,-0.0008558147237636149,0.0,0.0014135140227153897
1778197158.678,5834.435,1002.646484375,0.0,46.12,89.65653991699219,-9.152102575171739e-05,0.0,0.0007131966412998736
1778197159.681,5835.437,1002.6390991210938,0.0,46.12,89.4266586303711,-5.747420800616965e-05,0.0,0.0006921874592080712
1778197160.684,5836.440,1002.62890625,0.0,46.12,89.7120361328125,0.0007605161517858505,0.0,0.0003991633711848408
1778197161.687,5837.443,1002.6439819335938,0.0,46.12,89.74373626708984,0.0005405055126175284,0.0,0.0006470561493188143
1778197162.690,5838.446,1002.6214599609375,0.0,46.12,89.80715942382812,0.00011127830657642335,0.0,0.000419454911025241
1778197163.693,5839.450,1002.6239624023438,0.0,46.12,89.47950744628906,0.00011836224439321086,0.0,0.00022078835172578692
