time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778196373.057,5048.813,0.0,0.0,0.0,0.0
1778196373.558,5049.315,0.0,0.0,0.0,0.0
1778196374.060,5049.816,0.0,0.0,0.0,0.0
1778196374.561,5050.318,0.0,0.0,0.0,0.0
1778196375.063,5050.819,0.0,0.0,0.0,0.0
1778196375.564,5051.320,0.0,0.0,0.0,0.0
1778196376.065,5051.822,0.0,0.0,0.0,0.0
1778196376.567,5052.323,0.0,0.0,0.0,0.0
1778196377.068,5052.825,0.0,0.0,0.0,0.0
1778196377.570,5053.326,0.0,0.0,0.0,0.0
1778196378.071,5053.828,0.0,0.0,0.0,0.0
1778196378.572,5054.329,0.0,0.0,0.0,0.0
1778196379.074,5054.830,0.0,0.0,0.0,0.0
1778196379.576,5055.332,0.0,0.0,0.0,0.0
1778196380.077,5055.833,0.0,0.0,0.0,0.0
1778196380.578,5056.335,0.0,0.0,0.0,0.0
1778196381.080,5056.836,0.0,0.0,0.0,0.0
1778196381.581,5057.338,0.0,0.0,0.0,0.0
1778196382.082,5057.839,0.0,0.0,0.0,0.0
1778196382.584,5058.340,0.0,0.0,0.0,0.0
1778196383.085,5058.842,0.0,0.0,0.0,0.0
1778196383.587,5059.343,0.0,0.0,0.0,0.0
1778196384.088,5059.845,0.0,0.0,0.0,0.0
1778196384.590,5060.346,0.0,0.0,0.0,0.0
1778196385.091,5060.847,0.0,0.0,0.0,0.0
1778196385.592,5061.349,0.0,0.0,0.0,0.0
1778196386.094,5061.850,0.0,0.0,0.0,0.0
1778196386.596,5062.352,0.0,0.0,0.0,0.0
1778196387.097,5062.854,0.0,0.0,0.0,0.0
1778196387.599,5063.355,0.0,0.0,0.0,0.0
1778196388.100,5063.857,0.0,0.0,0.0,0.0
1778196388.602,5064.358,0.0,0.0,0.0,0.0
1778196389.053,5064.810,0.0,0.0,0.0,0.0
1778196389.555,5065.311,0.0,0.0,0.0,0.0
1778196390.056,5065.813,0.0,0.0,0.0,0.0
1778196390.558,5066.314,0.0,0.0,0.0,0.0
1778196391.059,5066.816,0.0,0.0,0.0,0.0
1778196391.561,5067.317,0.0,0.0,0.0,0.0
1778196392.062,5067.819,0.0,0.0,0.0,0.0
1778196392.564,5068.320,0.0,0.0,0.0,0.0
1778196393.066,5068.822,0.0,0.0,0.0,0.0
1778196393.567,5069.324,0.0,0.0,0.0,0.0
1778196394.069,5069.825,0.0,0.0,0.0,0.0
1778196394.570,5070.327,0.0,0.0,0.0,0.0
1778196395.071,5070.828,0.0,0.0,0.0,0.0
1778196395.573,5071.329,0.0,0.0,0.0,0.0
1778196396.074,5071.831,0.0,0.0,0.0,0.0
1778196396.577,5072.333,0.0,0.0,0.0,0.0
1778196397.078,5072.835,0.0,0.0,0.0,0.0
1778196397.579,5073.336,0.0,0.0,0.0,0.0
1778196398.081,5073.837,0.0,0.0,0.0,0.0
1778196398.582,5074.339,0.0,0.0,0.0,0.0
1778196399.083,5074.840,0.0,0.0,0.0,0.0
1778196399.585,5075.341,0.0,0.0,0.0,0.0
1778196400.086,5075.843,0.0,0.0,0.0,0.0
1778196400.588,5076.344,0.0,0.0,0.0,0.0
1778196401.089,5076.846,0.0,0.0,0.0,0.0
1778196401.591,5077.347,0.0,0.0,0.0,0.0
1778196402.092,5077.849,0.0,0.0,0.0,0.0
1778196402.594,5078.350,0.0,0.0,0.0,0.0
1778196403.095,5078.851,0.0,0.0,0.0,0.0
1778196403.596,5079.353,0.0,0.0,0.0,0.0
1778196404.098,5079.854,0.0,0.0,0.0,0.0
1778196404.599,5080.356,0.0,0.0,0.0,0.0
1778196405.100,5080.857,0.0,0.0,0.0,0.0
1778196405.602,5081.358,0.0,0.0,0.0,0.0
1778196406.053,5081.810,0.0,0.0,0.0,0.0
1778196406.555,5082.312,0.0,0.0,0.0,0.0
1778196407.057,5082.813,0.0,0.0,0.0,0.0
1778196407.558,5083.315,0.0,0.0,0.0,0.0
1778196408.059,5083.816,0.0,0.0,0.0,0.0
1778196408.561,5084.317,0.0,0.0,0.0,0.0
1778196409.062,5084.819,0.0,0.0,0.0,0.0
1778196409.564,5085.321,0.0,0.0,0.0,0.0
1778196410.065,5085.822,0.0,0.0,0.0,0.0
1778196410.567,5086.323,0.0,0.0,0.0,0.0
1778196411.068,5086.825,0.0,0.0,0.0,0.0
1778196411.570,5087.326,0.0,0.0,0.0,0.0
1778196412.071,5087.828,0.0,0.0,0.0,0.0
1778196412.572,5088.329,0.0,0.0,0.0,0.0
1778196413.074,5088.830,0.0,0.0,0.0,0.0
1778196413.575,5089.332,0.0,0.0,0.0,0.0
