time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1774360471.620,28.288,0.0,0.0,0.0,0.0
1774360472.121,28.789,0.0,0.0,0.0,0.0
1774360472.623,29.290,0.0,0.0,0.0,0.0
1774360473.124,29.791,0.0,0.0,0.0,0.0
1774360473.625,30.293,0.0,0.0,0.0,0.0
1774360474.126,30.794,0.0,0.0,0.0,0.0
1774360474.628,31.295,0.0,0.0,0.0,0.0
1774360475.129,31.796,0.0,0.0,0.0,0.0
1774360475.630,32.297,0.0,0.0,0.0,0.0
1774360476.131,32.798,0.0,0.0,0.0,0.0
1774360476.632,33.300,0.0,0.0,0.0,0.0
1774360477.133,33.801,0.0,0.0,0.0,0.0
1774360477.634,34.302,0.0,0.0,0.0,0.0
1778205672.143,34.815,0.0,0.0,0.0,0.0
1778205672.644,35.316,0.0,0.0,0.0,0.0
1778205673.145,35.817,0.0,0.0,0.0,0.0
1778205673.647,36.319,0.0,0.0,0.0,0.0
1778205674.148,36.820,0.0,0.0,0.0,0.0
1778205674.649,37.321,0.0,0.0,0.0,0.0
1778205675.151,37.823,0.0,0.0,0.0,0.0
1778205675.653,38.325,0.0,0.0,0.0,0.0
1778205676.155,38.827,0.0,0.0,0.0,0.0
1778205676.607,39.279,0.0,0.0,0.0,0.0
1778205677.108,39.780,0.0,0.0,0.0,0.0
1778205677.609,40.281,0.0,0.0,0.0,0.0
1778205678.110,40.783,0.0,0.0,0.0,0.0
1778205678.612,41.284,0.0,0.0,0.0,0.0
1778205679.113,41.785,0.0,0.0,0.0,0.0
1778205679.615,42.287,0.0,0.0,0.0,0.0
1778205680.116,42.788,0.0,0.0,0.0,0.0
1778205680.617,43.289,0.0,0.0,0.0,0.0
1778205681.119,43.791,0.0,0.0,0.0,0.0
1778205681.620,44.292,0.0,0.0,0.0,0.0
1778205682.121,44.794,0.0,0.0,0.0,0.0
1778205682.623,45.295,0.0,0.0,0.0,0.0
1778205683.124,45.796,0.0,0.0,0.0,0.0
1778205683.625,46.297,0.0,0.0,0.0,0.0
1778205684.127,46.799,0.0,0.0,0.0,0.0
1778205684.628,47.300,0.0,0.0,0.0,0.0
1778205685.130,47.802,0.0,0.0,0.0,0.0
1778205685.631,48.303,0.0,0.0,0.0,0.0
1778205686.132,48.804,0.0,0.0,0.0,0.0
1778205686.634,49.306,0.0,0.0,0.0,0.0
1778205687.135,49.807,0.0,0.0,0.0,0.0
1778205687.637,50.309,0.0,0.0,0.0,0.0
1778205688.138,50.810,0.0,0.0,0.0,0.0
1778205688.639,51.311,0.0,0.0,0.0,0.0
1778205689.141,51.813,0.0,0.0,0.0,0.0
1778205689.642,52.315,0.0,0.0,0.0,0.0
1778205690.144,52.816,0.0,0.0,0.0,0.0
1778205690.645,53.317,0.0,0.0,0.0,0.0
1778205691.146,53.819,0.0,0.0,0.0,0.0
1778205691.648,54.320,0.0,0.0,0.0,0.0
1778205692.149,54.821,0.0,0.0,0.0,0.0
1778205692.650,55.323,0.0,0.0,0.0,0.0
1778205693.152,55.824,0.0,0.0,0.0,0.0
1778205693.653,56.325,0.0,0.0,0.0,0.0
1778205694.154,56.827,0.0,0.0,0.0,0.0
1778205694.656,57.328,0.0,0.0,0.0,0.0
1778205695.107,57.779,0.0,0.0,0.0,0.0
1778205695.608,58.280,0.0,0.0,0.0,0.0
1778205696.109,58.782,0.0,0.0,0.0,0.0
1778205696.611,59.283,0.0,0.0,0.0,0.0
1778205697.112,59.784,0.0,0.0,0.0,0.0
1778205697.614,60.286,0.0,0.0,0.0,0.0
1778205698.115,60.787,0.0,0.0,0.0,0.0
1778205698.616,61.288,0.0,0.0,0.0,0.0
1778205699.117,61.790,0.0,0.0,0.0,0.0
1778205699.619,62.291,0.0,0.0,0.0,0.0
