time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1774360471.871,28.538,0.0,0.0,0.0,0.0
1774360472.372,29.040,0.0,0.0,0.0,0.0
1774360472.873,29.541,0.0,0.0,0.0,0.0
1774360473.374,30.042,0.0,0.0,0.0,0.0
1774360473.876,30.543,0.0,0.0,0.0,0.0
1774360474.377,31.044,0.0,0.0,0.0,0.0
1774360474.878,31.546,0.0,0.0,0.0,0.0
1774360475.379,32.047,0.0,0.0,0.0,0.0
1774360475.880,32.548,0.0,0.0,0.0,0.0
1774360476.382,33.049,0.0,0.0,0.0,0.0
1774360476.883,33.550,0.0,0.0,0.0,0.0
1774360477.384,34.051,0.0,0.0,0.0,0.0
1774360477.885,34.552,0.0,0.0,0.0,0.0
1778205672.393,35.066,0.0,0.0,0.0,0.0
1778205672.895,35.567,0.0,0.0,0.0,0.0
1778205673.396,36.068,0.0,0.0,0.0,0.0
1778205673.897,36.570,0.0,0.0,0.0,0.0
1778205674.398,37.071,0.0,0.0,0.0,0.0
1778205674.900,37.572,0.0,0.0,0.0,0.0
1778205675.401,38.073,0.0,0.0,0.0,0.0
1778205675.903,38.576,0.0,0.0,0.0,0.0
1778205676.406,39.078,0.0,0.0,0.0,0.0
1778205676.857,39.530,0.0,0.0,0.0,0.0
1778205677.359,40.031,0.0,0.0,0.0,0.0
1778205677.860,40.532,0.0,0.0,0.0,0.0
1778205678.361,41.033,0.0,0.0,0.0,0.0
1778205678.862,41.534,0.0,0.0,0.0,0.0
1778205679.364,42.036,0.0,0.0,0.0,0.0
1778205679.865,42.537,0.0,0.0,0.0,0.0
1778205680.367,43.039,0.0,0.0,0.0,0.0
1778205680.868,43.540,0.0,0.0,0.0,0.0
1778205681.369,44.041,0.0,0.0,0.0,0.0
1778205681.871,44.543,0.0,0.0,0.0,0.0
1778205682.372,45.044,0.0,0.0,0.0,0.0
1778205682.873,45.546,0.0,0.0,0.0,0.0
1778205683.375,46.047,0.0,0.0,0.0,0.0
1778205683.876,46.548,0.0,0.0,0.0,0.0
1778205684.377,47.050,0.0,0.0,0.0,0.0
1778205684.879,47.551,0.0,0.0,0.0,0.0
1778205685.380,48.052,0.0,0.0,0.0,0.0
1778205685.882,48.554,0.0,0.0,0.0,0.0
1778205686.383,49.055,0.0,0.0,0.0,0.0
1778205686.885,49.557,0.0,0.0,0.0,0.0
1778205687.386,50.058,0.0,0.0,0.0,0.0
1778205687.887,50.559,0.0,0.0,0.0,0.0
1778205688.389,51.061,0.0,0.0,0.0,0.0
1778205688.890,51.562,0.0,0.0,0.0,0.0
1778205689.392,52.064,0.0,0.0,0.0,0.0
1778205689.893,52.565,0.0,0.0,0.0,0.0
1778205690.394,53.067,0.0,0.0,0.0,0.0
1778205690.896,53.568,0.0,0.0,0.0,0.0
1778205691.397,54.069,0.0,0.0,0.0,0.0
