time_unix,monotonic,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1778205896.799,259.471,0.04711988568305969,-0.09167502075433731,0.7667781710624695,-0.008585592731833458,-0.005515627097338438,-0.00307585415430367
1778205897.050,259.722,0.046435315161943436,-0.09206977486610413,0.7675904631614685,-0.006230654660612345,-0.00433718366548419,9.84308571787551e-05
1778205897.301,259.973,0.046435315161943436,-0.09206977486610413,0.7675904631614685,-0.006230654660612345,-0.00433718366548419,9.84308571787551e-05
1778205897.551,260.224,0.04062508046627045,-0.09602402150630951,0.7742525339126587,-0.006407994776964188,-0.004989949520677328,0.015363928861916065
1778205897.802,260.474,0.038883108645677567,-0.09712634980678558,0.7773110270500183,-0.0019721451681107283,-0.000476305081974715,0.013811669312417507
1778205898.053,260.725,0.03865543380379677,-0.09718991070985794,0.7786007523536682,0.0037639096844941378,0.002528935903683305,0.009014745242893696
1778205898.304,260.976,0.03998458757996559,-0.09623441845178604,0.7788284420967102,0.007421660702675581,0.0050107333809137344,0.0038874472957104445
1778205898.555,261.227,0.04250546544790268,-0.09454336762428284,0.7779616117477417,0.008818372152745724,0.005986511707305908,-0.003065770259127021
1778205898.806,261.478,0.044917330145835876,-0.0929076224565506,0.7755485773086548,0.005872012116014957,0.004560109693557024,-0.01224743202328682
1778205899.007,261.679,0.046426620334386826,-0.09191042184829712,0.772508442401886,0.002641216851770878,0.003057735739275813,-0.01725318841636181
1778205899.257,261.930,0.04710489884018898,-0.09142405539751053,0.7688390612602234,-0.002213750034570694,-0.0005667338846251369,-0.01650380529463291
1778205899.508,262.180,0.04615490138530731,-0.09207464754581451,0.7667564749717712,-0.007426051888614893,-0.003937466535717249,-0.008323895744979382
1778205899.759,262.431,0.044030968099832535,-0.09350369870662689,0.7673497200012207,-0.00888221524655819,-0.0055898395366966724,0.0003404796007089317
1778205900.009,262.682,0.04143771529197693,-0.0952623188495636,0.7695111632347107,-0.007545952685177326,-0.004844846669584513,0.00628399383276701
1778205900.260,262.932,0.03948383778333664,-0.09656017273664474,0.7721881866455078,-0.0033359413500875235,-0.0019855438731610775,0.01134906243532896
