time_unix,monotonic,active,lat,lon,alt_msl,speed_ms,heading_deg,fix_type,num_sv
1778205897.251,259.923,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205898.254,260.926,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205899.257,261.930,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205900.260,262.932,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205901.263,263.935,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205902.266,264.939,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205903.270,265.942,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205904.273,266.946,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205905.276,267.948,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205906.280,268.952,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205907.283,269.955,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205908.237,270.909,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205909.240,271.912,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778205910.243,272.915,1,0.0,0.0,-17.0,0.0,0.0,0,0
