time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778205896.950,259.622,0.0,0.0,0.0,0.0
1778205897.451,260.123,0.0,0.0,0.0,0.0
1778205897.953,260.625,0.0,0.0,0.0,0.0
1778205898.454,261.127,0.0,0.0,0.0,0.0
1778205898.957,261.629,0.0,0.0,0.0,0.0
1778205899.458,262.130,0.0,0.0,0.0,0.0
1778205899.959,262.632,0.0,0.0,0.0,0.0
1778205900.461,263.133,0.0,0.0,0.0,0.0
1778205900.962,263.635,0.0,0.0,0.0,0.0
1778205901.464,264.136,0.0,0.0,0.0,0.0
1778205901.965,264.638,0.0,0.0,0.0,0.0
1778205902.467,265.139,0.0,0.0,0.0,0.0
1778205902.969,265.641,0.0,0.0,0.0,0.0
1778205903.471,266.143,0.0,0.0,0.0,0.0
1778205903.972,266.645,0.0,0.0,0.0,0.0
1778205904.474,267.146,0.0,0.0,0.0,0.0
1778205904.975,267.648,0.0,0.0,0.0,0.0
1778205905.477,268.149,0.0,0.0,0.0,0.0
1778205905.978,268.651,0.0,0.0,0.0,0.0
1778205906.480,269.152,0.0,0.0,0.0,0.0
1778205906.982,269.654,0.0,0.0,0.0,0.0
1778205907.483,270.156,0.0,0.0,0.0,0.0
1778205907.986,270.658,0.0,0.0,0.0,0.0
1778205908.487,271.160,0.0,0.0,0.0,0.0
1778205908.989,271.661,0.0,0.0,0.0,0.0
1778205909.490,272.163,0.0,0.0,0.0,0.0
1778205909.992,272.664,0.0,0.0,0.0,0.0
1778205910.494,273.166,0.0,0.0,0.0,0.0
1778205910.945,273.617,0.0,0.0,0.0,0.0
