time_unix,monotonic,voltage_24v,current_24v,voltage_12v,current_12v,voltage_5v,current_5v
1778205896.950,259.622,22.600000381469727,0.3199999928474426,12.42400074005127,-0.004000000189989805,5.360000133514404,0.8799999952316284
1778205897.903,260.575,22.600000381469727,0.47600001096725464,12.432000160217285,-0.004000000189989805,5.312000274658203,1.3480000495910645
1778205898.906,261.578,22.608001708984375,0.3920000195503235,12.432000160217285,-0.004000000189989805,5.360000133514404,0.8720000386238098
1778205899.909,262.581,22.608001708984375,0.47999998927116394,12.40000057220459,-0.004000000189989805,5.28000020980835,1.2760000228881836
1778205900.912,263.584,22.608001708984375,0.3160000145435333,12.44800090789795,-0.004000000189989805,5.360000133514404,0.8960000276565552
1778205901.915,264.588,22.608001708984375,0.30400002002716064,12.432000160217285,-0.004000000189989805,5.28000020980835,1.343999981880188
1778205902.919,265.591,22.608001708984375,0.3199999928474426,12.40000057220459,-0.004000000189989805,5.368000030517578,0.9120000004768372
1778205903.922,266.595,22.608001708984375,0.30799999833106995,12.440000534057617,-0.004000000189989805,5.28000020980835,1.3960000276565552
1778205904.925,267.597,22.600000381469727,0.484000027179718,12.408000946044922,-0.004000000189989805,5.360000133514404,0.8840000629425049
1778205905.928,268.600,22.600000381469727,0.46400001645088196,12.408000946044922,-0.004000000189989805,5.360000133514404,0.8759999871253967
1778205906.932,269.604,22.608001708984375,0.5160000324249268,12.432000160217285,-0.004000000189989805,5.288000106811523,0.9879999756813049
1778205907.936,270.608,22.608001708984375,0.30400002002716064,12.440000534057617,-0.004000000189989805,5.360000133514404,0.812000036239624
1778205908.939,271.611,22.608001708984375,0.31200000643730164,12.40000057220459,0.0,5.312000274658203,0.9479999542236328
1778205909.942,272.614,22.608001708984375,0.2840000092983246,12.44800090789795,-0.00800000037997961,5.28000020980835,1.340000033378601
1778205910.945,273.617,22.608001708984375,0.2880000174045563,12.408000946044922,-0.004000000189989805,5.360000133514404,0.7880000472068787
