time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778194996.568,3672.324,0.0,0.0,0.0,0.0
1778194997.069,3672.826,0.0,0.0,0.0,0.0
1778194997.571,3673.327,0.0,0.0,0.0,0.0
1778194998.072,3673.829,0.0,0.0,0.0,0.0
1778194998.573,3674.330,0.0,0.0,0.0,0.0
1778194999.075,3674.831,0.0,0.0,0.0,0.0
1778194999.576,3675.333,0.0,0.0,0.0,0.0
1778195000.077,3675.834,0.0,0.0,0.0,0.0
1778195000.579,3676.336,0.0,0.0,0.0,0.0
1778195001.080,3676.837,0.0,0.0,0.0,0.0
1778195001.582,3677.338,0.0,0.0,0.0,0.0
1778195002.083,3677.840,0.0,0.0,0.0,0.0
1778195002.584,3678.341,0.0,0.0,0.0,0.0
1778195003.086,3678.842,0.0,0.0,0.0,0.0
1778195003.587,3679.344,0.0,0.0,0.0,0.0
1778195004.089,3679.845,0.0,0.0,0.0,0.0
1778195004.590,3680.346,0.0,0.0,0.0,0.0
1778195005.091,3680.848,0.0,0.0,0.0,0.0
1778195005.593,3681.349,0.0,0.0,0.0,0.0
1778195006.094,3681.851,0.0,0.0,0.0,0.0
1778195006.595,3682.352,0.0,0.0,0.0,0.0
1778195007.097,3682.854,0.0,0.0,0.0,0.0
1778195007.598,3683.355,0.0,0.0,0.0,0.0
1778195008.100,3683.856,0.0,0.0,0.0,0.0
1778195008.601,3684.358,0.0,0.0,0.0,0.0
1778195009.103,3684.859,0.0,0.0,0.0,0.0
1778195009.604,3685.361,0.0,0.0,0.0,0.0
1778195010.106,3685.862,0.0,0.0,0.0,0.0
1778195010.608,3686.364,0.0,0.0,0.0,0.0
1778195011.109,3686.865,0.0,0.0,0.0,0.0
1778195011.610,3687.367,0.0,0.0,0.0,0.0
1778195012.112,3687.868,0.0,0.0,0.0,0.0
1778195012.613,3688.369,0.0,0.0,0.0,0.0
1778195013.114,3688.871,0.0,0.0,0.0,0.0
1778195013.616,3689.372,0.0,0.0,0.0,0.0
1778195014.118,3689.874,0.0,0.0,0.0,0.0
1778195014.569,3690.326,0.0,0.0,0.0,0.0
1778195015.071,3690.827,0.0,0.0,0.0,0.0
1778195015.572,3691.329,0.0,0.0,0.0,0.0
1778195016.073,3691.830,0.0,0.0,0.0,0.0
1778195016.575,3692.331,0.0,0.0,0.0,0.0
1778195017.076,3692.833,0.0,0.0,0.0,0.0
1778195017.577,3693.334,0.0,0.0,0.0,0.0
1778195018.079,3693.835,0.0,0.0,0.0,0.0
1778195018.580,3694.337,0.0,0.0,0.0,0.0
1778195019.082,3694.838,0.0,0.0,0.0,0.0
1778195019.583,3695.340,0.0,0.0,0.0,0.0
1778195020.085,3695.841,0.0,0.0,0.0,0.0
1778195020.586,3696.342,0.0,0.0,0.0,0.0
1778195021.087,3696.844,0.0,0.0,0.0,0.0
1778195021.589,3697.345,0.0,0.0,0.0,0.0
1778195022.090,3697.847,0.0,0.0,0.0,0.0
1778195022.592,3698.348,0.0,0.0,0.0,0.0
1778195023.093,3698.850,0.0,0.0,0.0,0.0
1778195023.595,3699.351,0.0,0.0,0.0,0.0
1778195024.096,3699.852,0.0,0.0,0.0,0.0
1778195024.597,3700.354,0.0,0.0,0.0,0.0
1778195025.099,3700.855,0.0,0.0,0.0,0.0
1778195025.600,3701.357,0.0,0.0,0.0,0.0
1778195026.102,3701.858,0.0,0.0,0.0,0.0
1778195026.603,3702.360,0.0,0.0,0.0,0.0
1778195027.105,3702.861,0.0,0.0,0.0,0.0
1778195027.607,3703.363,0.0,0.0,0.0,0.0
